term,definition,type,occurrences
aeolian,"Aeolian (or Eolian or Æolian) processes pertain to the activity of the winds and more specifically, to the winds' ability to shape the surface of the Earth and other planets. Winds may erode, transport, and deposit materials, and are effective agents in regions with sparse vegetation and a large supply of unconsolidated sediments. [Wikipedia]",Semantic Web for Earth and Environment Technology Ontology.json,1
barchan,,Semantic Web for Earth and Environment Technology Ontology.json,1
erg,,Semantic Web for Earth and Environment Technology Ontology.json,1
high desert,,Semantic Web for Earth and Environment Technology Ontology.json,1
seif,,Semantic Web for Earth and Environment Technology Ontology.json,1
slack,,Semantic Web for Earth and Environment Technology Ontology.json,1
slip face,,Semantic Web for Earth and Environment Technology Ontology.json,1
yardang,,Semantic Web for Earth and Environment Technology Ontology.json,1
sand dune,,Semantic Web for Earth and Environment Technology Ontology.json,1
has spatial extent,,Semantic Web for Earth and Environment Technology Ontology.json,1
dune,"A dune is a hill of sand built by eolian processes. Dunes are subject to different forms and sizes based on their interaction with the wind. Most kinds of dune are longer on the windward side where the sand is pushed up the dune, and a shorter slip face in the lee of the wind. The valley or trough between dunes is called a slack. A dune field is an area covered by extensive sand dunes. Large dune fields are known as ergs.",Semantic Web for Earth and Environment Technology Ontology.json,1
eolian,,Semantic Web for Earth and Environment Technology Ontology.json,1
aeolian landform,,Semantic Web for Earth and Environment Technology Ontology.json,1
atoll,,Semantic Web for Earth and Environment Technology Ontology.json,1
barrier island,,Semantic Web for Earth and Environment Technology Ontology.json,1
beach,"A beach, or strand, is a geological landform consisting of loose rock particles - such as sand, gravel, shingle, pebbles, cobble - or even shell fragments, along the shoreline of a body of water. Beaches occur along coastal areas, where wave or current action deposits and reworks sediments, or at the margin of land along a lake or river subject to erosion caused by rainfall. Beaches are not necessarily found in conjunction with salt water, such as the ocean, in all instances. A seashore beach is merely one type of beach but it is the most commonly associated with the perception of the word beach.",Semantic Web for Earth and Environment Technology Ontology.json,1
coastal margin,,Semantic Web for Earth and Environment Technology Ontology.json,1
coastal plain,,Semantic Web for Earth and Environment Technology Ontology.json,1
cove,,Semantic Web for Earth and Environment Technology Ontology.json,1
harbor,,Semantic Web for Earth and Environment Technology Ontology.json,1
hinterland,,Semantic Web for Earth and Environment Technology Ontology.json,1
intertidal,,Semantic Web for Earth and Environment Technology Ontology.json,1
island arc,,Semantic Web for Earth and Environment Technology Ontology.json,1
isthmus,,Semantic Web for Earth and Environment Technology Ontology.json,1
key,,Semantic Web for Earth and Environment Technology Ontology.json,1
mud flat,,Semantic Web for Earth and Environment Technology Ontology.json,1
riparian,"A riparian zone is the interface between land and a flowing surface water body. Plant communities along the river margins are called riparian vegetation, characterized by hydrophilic plants. Riparian zones are significant in ecology, environmental management, and civil engineering due to their role in soil conservation, their biodiversity, and the influence they have on aquatic ecosystems. Riparian zones occur in many forms including grassland, woodland, wetland or even non-vegetative. In some regions the terms riparian woodland, riparian forest, riparian buffer zone or riparian strip are used to characterize a riparian zone.",Semantic Web for Earth and Environment Technology Ontology.json,1
shoal,"A shoal is a somewhat linear landform within or extending into a body of water, typically comprised of sand, silt or small pebbles. Alternatively termed sandbar or sandbank, a bar is characteristically long and narrow (linear) and develops where a stream or ocean current promote deposition of granular material, resulting in localized shallowing (shoaling) of the water. Bars can appear in the sea, in a lake, or in a river. Alternatively a bar may separate a lake from the sea, as in the case of an ayre. They are typically composed of sand, although could be of any granular matter that the moving water has access to and is capable of shifting around (for example, soil, silt, gravel, cobble, shingle, or even boulders). The grain size of the material comprising a bar is related to the size of the waves or the strength of the currents moving the material, but the availability of material to be worked by waves and currents is also important.",Semantic Web for Earth and Environment Technology Ontology.json,1
shore,"A shore or shoreline is the fringe of land at the edge of a large body of water, such as an ocean, sea, or lake.",Semantic Web for Earth and Environment Technology Ontology.json,1
shore platform,,Semantic Web for Earth and Environment Technology Ontology.json,1
supratidal,,Semantic Web for Earth and Environment Technology Ontology.json,1
terracette,,Semantic Web for Earth and Environment Technology Ontology.json,1
tidal,,Semantic Web for Earth and Environment Technology Ontology.json,1
tombolo,,Semantic Web for Earth and Environment Technology Ontology.json,1
updrift,,Semantic Web for Earth and Environment Technology Ontology.json,1
wave attack zone,,Semantic Web for Earth and Environment Technology Ontology.json,1
bar,,Semantic Web for Earth and Environment Technology Ontology.json,1
delta,"A delta is a landform where the mouth of a river flows into an ocean, sea, desert, estuary, lake or another river. It builds up sediment outwards into the flat area which the river's flow encounters (as a deltaic deposit) transported by the water and set down as the currents slow. Deltaic deposits of larger, heavily-laden rivers are characterized by the main channel dividing amongst often substantial land masses into multiple streams known as distributaries. These divide and come together again to form a maze of active and inactive channels.",Semantic Web for Earth and Environment Technology Ontology.json,1
delta bar,,Semantic Web for Earth and Environment Technology Ontology.json,1
intertidal zone,"The intertidal zone, also known as the littoral zone, in marine aquatic environments is the area of the foreshore and seabed that is exposed to the air at low tide and submerged at high tide, for example, the area between tide marks.",Semantic Web for Earth and Environment Technology Ontology.json,1
littoral,,Semantic Web for Earth and Environment Technology Ontology.json,1
littoral zone,,Semantic Web for Earth and Environment Technology Ontology.json,1
riparian zone,,Semantic Web for Earth and Environment Technology Ontology.json,1
shoreline,,Semantic Web for Earth and Environment Technology Ontology.json,1
spit,,Semantic Web for Earth and Environment Technology Ontology.json,1
tide pool,,Semantic Web for Earth and Environment Technology Ontology.json,1
wave cut platform,,Semantic Web for Earth and Environment Technology Ontology.json,1
is adjacent to,,Semantic Web for Earth and Environment Technology Ontology.json,1
surrounded by,,Semantic Web for Earth and Environment Technology Ontology.json,1
has common2 d border with,,Semantic Web for Earth and Environment Technology Ontology.json,1
island,,Semantic Web for Earth and Environment Technology Ontology.json,1
coastal landform,,Semantic Web for Earth and Environment Technology Ontology.json,1
alluvial,The process of depositing soil or sediments by a river or other running water. [Wikipedia],Semantic Web for Earth and Environment Technology Ontology.json,1
alluvial fan,,Semantic Web for Earth and Environment Technology Ontology.json,1
alluvial plain,,Semantic Web for Earth and Environment Technology Ontology.json,1
bajada,,Semantic Web for Earth and Environment Technology Ontology.json,1
cave,,Semantic Web for Earth and Environment Technology Ontology.json,1
drainage basin,,Semantic Web for Earth and Environment Technology Ontology.json,1
dry lake,,Semantic Web for Earth and Environment Technology Ontology.json,1
flood plain,,Semantic Web for Earth and Environment Technology Ontology.json,1
gulley,,Semantic Web for Earth and Environment Technology Ontology.json,1
karst landform,"Karst topography is a landscape shaped by the dissolution of a layer or layers of soluble bedrock, usually carbonate rock such as limestone or dolomite. [Wikipedia]",Semantic Web for Earth and Environment Technology Ontology.json,1
lacustrine plain,,Semantic Web for Earth and Environment Technology Ontology.json,1
ripple,,Semantic Web for Earth and Environment Technology Ontology.json,1
river bed,,Semantic Web for Earth and Environment Technology Ontology.json,1
sabkha,,Semantic Web for Earth and Environment Technology Ontology.json,1
scroll plain,,Semantic Web for Earth and Environment Technology Ontology.json,1
trench,"A trench is a type of excavation or depression in the ground. Trenches are generally defined by being deeper than they are wide (as opposed to a wider gully or ditch), and by being narrow compared to their length (as opposed to a simple hole). Trenches are a natural feature in many landscapes. Some are created by rivers in flow (which may have long since fallen dry), others are features created by geological movement, such as oceanic trenches. The latter form is relatively deep, linear and narrow, and is formed by plate subduction. [Wikipedia]",Semantic Web for Earth and Environment Technology Ontology.json,1
turbidite,,Semantic Web for Earth and Environment Technology Ontology.json,1
wall,,Semantic Web for Earth and Environment Technology Ontology.json,1
wash,,Semantic Web for Earth and Environment Technology Ontology.json,1
playa,,Semantic Web for Earth and Environment Technology Ontology.json,1
salt flat,,Semantic Web for Earth and Environment Technology Ontology.json,1
salt lake,,Semantic Web for Earth and Environment Technology Ontology.json,1
tunnel,,Semantic Web for Earth and Environment Technology Ontology.json,1
contains,,Semantic Web for Earth and Environment Technology Ontology.json,1
tube,,Semantic Web for Earth and Environment Technology Ontology.json,1
bedform,,Semantic Web for Earth and Environment Technology Ontology.json,1
piedmont slope,,Semantic Web for Earth and Environment Technology Ontology.json,1
fluvial plain,,Semantic Web for Earth and Environment Technology Ontology.json,1
fluvial landform,,Semantic Web for Earth and Environment Technology Ontology.json,1
central creek crater,,Semantic Web for Earth and Environment Technology Ontology.json,1
complex crater,,Semantic Web for Earth and Environment Technology Ontology.json,1
debris basin,,Semantic Web for Earth and Environment Technology Ontology.json,1
deflation zone,,Semantic Web for Earth and Environment Technology Ontology.json,1
dryland,,Semantic Web for Earth and Environment Technology Ontology.json,1
highland,,Semantic Web for Earth and Environment Technology Ontology.json,1
impact basin,,Semantic Web for Earth and Environment Technology Ontology.json,1
impact crater,,Semantic Web for Earth and Environment Technology Ontology.json,1
lamination,,Semantic Web for Earth and Environment Technology Ontology.json,1
land cover,"Land cover is the physical material at the surface of the earth. Land covers include grass, asphalt, trees, bare ground, water, etc. [Wikipedia]",Semantic Web for Earth and Environment Technology Ontology.json,1
landscape,"A landscape comprises the visible features of an area of land, including physical elements such as landforms, living elements of flora and fauna, abstract elements such as lighting and weather conditions, and human elements, for instance human activity or the built environment. Landscape may also signify the objects around one in a building.",Semantic Web for Earth and Environment Technology Ontology.json,1
mare,,Semantic Web for Earth and Environment Technology Ontology.json,1
pedestal crater,,Semantic Web for Earth and Environment Technology Ontology.json,1
prarie,,Semantic Web for Earth and Environment Technology Ontology.json,1
rocky pit floor crater,,Semantic Web for Earth and Environment Technology Ontology.json,1
shatter cone,,Semantic Web for Earth and Environment Technology Ontology.json,1
spall,,Semantic Web for Earth and Environment Technology Ontology.json,1
land surface,,Semantic Web for Earth and Environment Technology Ontology.json,1
lowland,,Semantic Web for Earth and Environment Technology Ontology.json,1
pit crater,,Semantic Web for Earth and Environment Technology Ontology.json,1
has visibility,,Semantic Web for Earth and Environment Technology Ontology.json,1
dark,,Semantic Web for Earth and Environment Technology Ontology.json,1
crater,,Semantic Web for Earth and Environment Technology Ontology.json,1
arete,"A thin, almost knife-like, ridge of rock which is typically formed when two glaciers erode parallel U-shaped valleys.",Semantic Web for Earth and Environment Technology Ontology.json,1
cirque,"An amphitheatre-like valley head, formed at the head of a valley glacier by erosion.",Semantic Web for Earth and Environment Technology Ontology.json,1
esker,"A long winding ridge of stratified sand and gravel, examples of which occur in glaciated and formerly glaciated regions.",Semantic Web for Earth and Environment Technology Ontology.json,1
glacial moraine,,Semantic Web for Earth and Environment Technology Ontology.json,1
kame,"An irregularly shaped hill or mound composed of sand, gravel and till that accumulates in a depresson on a retreating glacier, and is then deposited with further melting.[Wikipedia]",Semantic Web for Earth and Environment Technology Ontology.json,1
outwash fan,A fan-shaped body of sediments deposited by braided streams from a melting glacier. Sediment locked within the ice of the glacier gets transported by the streams of meltwater and deposits on the outwash plain at the terminus of the glacier.,Semantic Web for Earth and Environment Technology Ontology.json,1
rock glacier,Rock glaciers are distinctive geomorphological landforms of blocky detritus which may extend outward and downslope from talus cones or from glaciers or the terminal moraines of glaciers. [Wikipedia],Semantic Web for Earth and Environment Technology Ontology.json,1
sandur,A glacial outwash plain formed of sediments deposited by meltwater at the terminus of a glacier.,Semantic Web for Earth and Environment Technology Ontology.json,1
till,,Semantic Web for Earth and Environment Technology Ontology.json,1
u shaped valley,,Semantic Web for Earth and Environment Technology Ontology.json,1
glacial outwash plain,,Semantic Web for Earth and Environment Technology Ontology.json,1
moraine,Any glacially formed accumulation of unconsolidated glacial debris (soil and rock) which can occur in currently glaciated and formerly glaciated regions.,Semantic Web for Earth and Environment Technology Ontology.json,1
till plain,An extensive flat plain of glacial till that forms when a sheet of ice becomes detached from the main body of a glacier and melts in place depositing the sediments it carried.,Semantic Web for Earth and Environment Technology Ontology.json,1
glacial plain,,Semantic Web for Earth and Environment Technology Ontology.json,1
glacial landform,,Semantic Web for Earth and Environment Technology Ontology.json,1
alpine,Alpine region is one above the tree line. [Wikipedia],Semantic Web for Earth and Environment Technology Ontology.json,1
bluff,,Semantic Web for Earth and Environment Technology Ontology.json,1
butte,,Semantic Web for Earth and Environment Technology Ontology.json,1
cliff,,Semantic Web for Earth and Environment Technology Ontology.json,1
foothill,,Semantic Web for Earth and Environment Technology Ontology.json,1
hummock,,Semantic Web for Earth and Environment Technology Ontology.json,1
mesa,,Semantic Web for Earth and Environment Technology Ontology.json,1
mountain range,,Semantic Web for Earth and Environment Technology Ontology.json,1
non orographic,,Semantic Web for Earth and Environment Technology Ontology.json,1
pass,,Semantic Web for Earth and Environment Technology Ontology.json,1
plateau,,Semantic Web for Earth and Environment Technology Ontology.json,1
protrusion,,Semantic Web for Earth and Environment Technology Ontology.json,1
summit,,Semantic Web for Earth and Environment Technology Ontology.json,1
talus,"A slope formed at the base of a steeper slope, made of fallen and disintegrated materials.",Semantic Web for Earth and Environment Technology Ontology.json,1
topographical region,,Semantic Web for Earth and Environment Technology Ontology.json,1
ubac,The shady (usually poleward) side of a mountain.,Semantic Web for Earth and Environment Technology Ontology.json,1
hill,"A hill is a landform that extends above the surrounding terrain, in a limited area. Hills often have a distinct summit, although in areas with scarp/dip topography a hill may refer to a particular section of scarp slope without a well-defined summit (e.g. Box Hill). A hillock is a small hill. [Wikipedia]",Semantic Web for Earth and Environment Technology Ontology.json,1
mountain region,,Semantic Web for Earth and Environment Technology Ontology.json,1
city park,,Semantic Web for Earth and Environment Technology Ontology.json,1
county park,,Semantic Web for Earth and Environment Technology Ontology.json,1
mpa,,Semantic Web for Earth and Environment Technology Ontology.json,1
national forest,,Semantic Web for Earth and Environment Technology Ontology.json,1
national monument,,Semantic Web for Earth and Environment Technology Ontology.json,1
national park,,Semantic Web for Earth and Environment Technology Ontology.json,1
state forest,,Semantic Web for Earth and Environment Technology Ontology.json,1
state park,,Semantic Web for Earth and Environment Technology Ontology.json,1
wildlife refuge,,Semantic Web for Earth and Environment Technology Ontology.json,1
marine protected area,,Semantic Web for Earth and Environment Technology Ontology.json,1
parkland,,Semantic Web for Earth and Environment Technology Ontology.json,1
water reserve,,Semantic Web for Earth and Environment Technology Ontology.json,1
park,,Semantic Web for Earth and Environment Technology Ontology.json,1
land reserve,,Semantic Web for Earth and Environment Technology Ontology.json,1
aseismic ridge,"Are neighboring ridges on different tectonic plates which have similar seismic characteristics. ‘Based on similar seismic velocity gradients of the lavas of the Carnegie, Cocos and Malpelos Ridges there is evidence that the hotspot activity has been the result of a single long mantle melt rather than multiple periods of activity and dormancy.’ [Wikipedia]",Semantic Web for Earth and Environment Technology Ontology.json,1
convergent boundary,"In plate tectonics, a convergent boundary or convergent plate boundary, also known as a destructive plate boundary (because of subduction), is an actively deforming region where two (or more) tectonic plates or fragments of lithosphere move toward one another and collide and where crust is being destroyed. [Wikipedia]",Semantic Web for Earth and Environment Technology Ontology.json,1
diapir,,Semantic Web for Earth and Environment Technology Ontology.json,1
fault zone,,Semantic Web for Earth and Environment Technology Ontology.json,1
footwall,,Semantic Web for Earth and Environment Technology Ontology.json,1
lip,,Semantic Web for Earth and Environment Technology Ontology.json,1
ophiolite,An Ophiolite is a section of the Earth's oceanic crust and the underlying upper mantle that has been uplifted or emplaced to be exposed within continental crustal rocks. [Wikipedia],Semantic Web for Earth and Environment Technology Ontology.json,1
paired metamorphic belt,"A location where belts of  high pressure, low temperature metamorphism on the oceanic side are associated with belts of high pressure, high temperature metamorphism on the continent side. [Wikipedia]",Semantic Web for Earth and Environment Technology Ontology.json,1
plate,,Semantic Web for Earth and Environment Technology Ontology.json,1
rift valley,A rift valley is a linear-shaped lowland between highlands or mountain ranges created by the action of a geologic rift or fault. [Wikipedia],Semantic Web for Earth and Environment Technology Ontology.json,1
subduction zone,A subduction zone is an area on Earth where two tectonic plates move towards one another and subduction occurs.  [Wikipedia],Semantic Web for Earth and Environment Technology Ontology.json,1
transform boundary,A transform plate boundary is where two lithospheric plates slide past each other and where crust is neither produced or destroyed. [Wikipedia],Semantic Web for Earth and Environment Technology Ontology.json,1
transpressional stress regime,Transpression regimes are formed during oblique collision of tectonic plates and during non-orthogonal subduction. [Wikipedia],Semantic Web for Earth and Environment Technology Ontology.json,1
transtensional stress regime,Transtension regimes are oblique tensional environments where stretching takes place. [Wikipedia],Semantic Web for Earth and Environment Technology Ontology.json,1
convergent margin,,Semantic Web for Earth and Environment Technology Ontology.json,1
convergent plate boundary,,Semantic Web for Earth and Environment Technology Ontology.json,1
divergent plate boundary,,Semantic Web for Earth and Environment Technology Ontology.json,1
flood basalt,"A flood basalt or trap basalt is the result of a giant volcanic eruption or series of eruptions that coats large stretches of land or the ocean floor with basalt lava. Flood basalts have occurred on continental scales (large igneous provinces) in prehistory, creating great plateaus and mountain ranges. [Wikipedia]",Semantic Web for Earth and Environment Technology Ontology.json,1
fossil plate boundary,"Are where similar plant and animal fossils are found around different continent shores, suggesting that they were once joined. [Wikipedia]",Semantic Web for Earth and Environment Technology Ontology.json,1
hanging wall,,Semantic Web for Earth and Environment Technology Ontology.json,1
large igneous province,,Semantic Web for Earth and Environment Technology Ontology.json,1
transform margin,,Semantic Web for Earth and Environment Technology Ontology.json,1
transform plate boundary,,Semantic Web for Earth and Environment Technology Ontology.json,1
triple junction,"The Galapagos Triple Junction is a geological area in the eastern Pacific Ocean several hundred miles west of the Galapagos Islands where three tectonic plates - the Cocos Plate, the Nazca Plate and the Pacific Plate - meet. [Wikipedia]",Semantic Web for Earth and Environment Technology Ontology.json,1
has basin,,Semantic Web for Earth and Environment Technology Ontology.json,1
has geologic province,,Semantic Web for Earth and Environment Technology Ontology.json,1
has outer boundary,,Semantic Web for Earth and Environment Technology Ontology.json,1
stress regime,"Stress regimes are shear zones. A shear zone or shear is a wide zone of distributed shearing in rock. Typically this is a type of fault but it may be difficult to place a distinct fault plane into the shear zone. Shear zones may form zones of much more intense foliation, deformation, and folding. [Wikipedia]",Semantic Web for Earth and Environment Technology Ontology.json,1
tectonic landform,,Semantic Web for Earth and Environment Technology Ontology.json,1
has geomorphological type,,Semantic Web for Earth and Environment Technology Ontology.json,1
plate boundary,The location where two plates meet is called a plate boundary. it is often a broad zone where the plate interactions are not well understood. [Wikipedia],Semantic Web for Earth and Environment Technology Ontology.json,1
fracture zone,"A fracture zone is a linear oceanic feature--often hundreds, even thousands of kilometers long--resulting from the action of offset mid-ocean ridge axis segments. They are a consequence of plate tectonics. Lithospheric plates on either side of an active transform fault move in opposite directions; here, strike-slip activity is possible. Fracture zones extend past the transform faults, away from the ridge axis; seismically inactive (because both plate segments are moving in the same direction), they display evidence of past transform fault activity.",Semantic Web for Earth and Environment Technology Ontology.json,1
caldera,,Semantic Web for Earth and Environment Technology Ontology.json,1
central volcano,"A volcano constructed by the ejection of debris and lava flows from a central point, forming a more or less symmetrical volcano.",Semantic Web for Earth and Environment Technology Ontology.json,1
composite volcano,,Semantic Web for Earth and Environment Technology Ontology.json,1
fumarole,,Semantic Web for Earth and Environment Technology Ontology.json,1
geyser,,Semantic Web for Earth and Environment Technology Ontology.json,1
hot spot,"In geology, a hotspot is a location on the Earth's surface that has experienced active volcanism for a long period of time. [Wikipedia]",Semantic Web for Earth and Environment Technology Ontology.json,1
lava plain,,Semantic Web for Earth and Environment Technology Ontology.json,1
monogenetic,A volcano built by a single eruption.,Semantic Web for Earth and Environment Technology Ontology.json,1
shield volcano,,Semantic Web for Earth and Environment Technology Ontology.json,1
stratovolcano,A volcano composed of both lava flows and pyroclastic material.,Semantic Web for Earth and Environment Technology Ontology.json,1
subaqueous volcano,,Semantic Web for Earth and Environment Technology Ontology.json,1
tumulus,A doming or small mound on the crest of a lava flow caused by pressure due to the difference in the rate of flow between the cooler crust and the more fluid lava below.,Semantic Web for Earth and Environment Technology Ontology.json,1
volcanic arc,,Semantic Web for Earth and Environment Technology Ontology.json,1
volcanic system,,Semantic Web for Earth and Environment Technology Ontology.json,1
compound volcano,"A volcano that consists of a complex of two or more vents, or a volcano that has an associated volcanic dome, either in its crater or on its flanks.",Semantic Web for Earth and Environment Technology Ontology.json,1
linear volcanic chain,"Where this association of flood basalts with continental rifting is observed, it is not uncommon to find linear chains of volcanic islands  [Wikipedia]",Semantic Web for Earth and Environment Technology Ontology.json,1
submarine volcano,,Semantic Web for Earth and Environment Technology Ontology.json,1
volcanic field,"A volcanic field is a spot of the earth's crust that is prone to localized volcanic activity. They usually contain 10 to 100 volcanoes, such as cinder cones and are usually in clusters. Lava flows may also occur. They may occur as a monogenetic volcanic field or a polygenetic volcanic field. [Wikipedia]",Semantic Web for Earth and Environment Technology Ontology.json,1
has primary substance,,Semantic Web for Earth and Environment Technology Ontology.json,1
vent,,Semantic Web for Earth and Environment Technology Ontology.json,1
volcanic chain,"Island arcs that develop along the edges of a continent (for example, large parts of the Andes/ Central American/ Canadian mountain chain) may be known as a volcanic arc or volcanic chain. [Wikipedia]",Semantic Web for Earth and Environment Technology Ontology.json,1
volcano,"A volcano is an opening, or rupture, in a planet's surface or crust, which allows hot, molten rock, ash, and gases to escape from below the surface. Volcanic activity involving the extrusion of rock tends to form mountains or features like mountains over a period of time. [Wikipedia]",Semantic Web for Earth and Environment Technology Ontology.json,1
abyss,,Semantic Web for Earth and Environment Technology Ontology.json,1
barrier layer,"The depth range, where it exists, between the bottom of the oceanic surface mixed layer and the thermocline, usually at a depth between 30 and 80 m.",Semantic Web for Earth and Environment Technology Ontology.json,1
bathyal,,Semantic Web for Earth and Environment Technology Ontology.json,1
euphotic zone,,Semantic Web for Earth and Environment Technology Ontology.json,1
hadal,,Semantic Web for Earth and Environment Technology Ontology.json,1
halocline,"In oceanography, a Halocline is a strong, vertical salinity gradient. Because salinity (in concert with temperature) affects the density of seawater, it can play a role in its vertical stratification.",Semantic Web for Earth and Environment Technology Ontology.json,1
limnetic zone,"The limnetic zone is the well-lit, open surface waters farther from shore in a lake. It is surrounded by the littoral zone and above the profundal zone",Semantic Web for Earth and Environment Technology Ontology.json,1
neritic zone,,Semantic Web for Earth and Environment Technology Ontology.json,1
open ocean,,Semantic Web for Earth and Environment Technology Ontology.json,1
pelagic sub zone,,Semantic Web for Earth and Environment Technology Ontology.json,1
polynya,A polynya is any non-linear area of open water surrounded by sea ice. It is now used as geographical term for areas of sea in Arctic or Antarctic regions which remain unfrozen for much of the year.,Semantic Web for Earth and Environment Technology Ontology.json,1
pycnocline,"A pycnocline is a layer across which there is a rapid change in water density with depth. In freshwater environments such as lakes this density change is primarily caused by water temperature, while in seawater environments such as oceans the density change may be caused by changes in water temperature and/or salinity",Semantic Web for Earth and Environment Technology Ontology.json,1
thermocline,The thermocline (sometimes metalimnion) is a layer within a body of water or air where the temperature changes rapidly with depth.,Semantic Web for Earth and Environment Technology Ontology.json,1
abyssal,,Semantic Web for Earth and Environment Technology Ontology.json,1
benthic zone,"Benthic means anything associated with or happening on the bottom of a body of water. The Benthic Zone of the ocean is the bottom ocean zone ranging from the deepest parts of the ocean to the tidal affected areas. The most productive region of the benthic zone is the area over the continental margin, which is unaffected by the tides.",Semantic Web for Earth and Environment Technology Ontology.json,1
demersal zone,The demersal zone is the part of the sea or ocean (or deep lake) comprising the water column that is near to (and is significantly affected by) the seabed and the benthos. The demersal zone is just above the benthic zone and forms a layer of the larger profundal zone.,Semantic Web for Earth and Environment Technology Ontology.json,1
pelagic zone,The pelagic zone is the part of the open sea or ocean that is not near the coast.,Semantic Web for Earth and Environment Technology Ontology.json,1
aphotic zone,"The aphotic zone is the portion of a lake or ocean where there is little or no sunlight. It is formally defined as the depths beyond which less than 1% of sunlight penetrates. Consequently, bioluminescence is essentially the only light found in this zone. Most food comes from dead organisms sinking to the bottom of the lake or ocean from other zones. The depth of the aphotic zone can be greatly affected by such things as turbidity and the season of the year. The aphotic zone underlies the photic zone, which is that portion of the ocean directly affected by sunlight.",Semantic Web for Earth and Environment Technology Ontology.json,1
profundal zone,"The profundal zone is a deep zone of a body of water, such as an ocean or a lake, located below the range of effective light penetration. This is typically below the thermocline, the vertical zone in the water through which temperature drops rapidly. The lack of light in the profundal zone determines the type of biological community that can live in this region, which is distinctly different from the community in the overlying waters. The profundal zone is part of the aphotic zone.",Semantic Web for Earth and Environment Technology Ontology.json,1
water body layer,,Semantic Web for Earth and Environment Technology Ontology.json,1
1038m,,Semantic Web for Earth and Environment Technology Ontology.json,1
10911m,,Semantic Web for Earth and Environment Technology Ontology.json,1
14.1 million km2,,Semantic Web for Earth and Environment Technology Ontology.json,1
165.2 million km2,,Semantic Web for Earth and Environment Technology Ontology.json,1
20.3 million km2,,Semantic Web for Earth and Environment Technology Ontology.json,1
291.0 million km3,,Semantic Web for Earth and Environment Technology Ontology.json,1
2.8 million km2,,Semantic Web for Earth and Environment Technology Ontology.json,1
323.6 million km3,,Semantic Web for Earth and Environment Technology Ontology.json,1
3926m,,Semantic Web for Earth and Environment Technology Ontology.json,1
3963m,,Semantic Web for Earth and Environment Technology Ontology.json,1
4282m,,Semantic Web for Earth and Environment Technology Ontology.json,1
707.6 million km3,,Semantic Web for Earth and Environment Technology Ontology.json,1
7235m,,Semantic Web for Earth and Environment Technology Ontology.json,1
73.4 million km2,,Semantic Web for Earth and Environment Technology Ontology.json,1
7686m,,Semantic Web for Earth and Environment Technology Ontology.json,1
8047m,,Semantic Web for Earth and Environment Technology Ontology.json,1
82.4 million km2,,Semantic Web for Earth and Environment Technology Ontology.json,1
8605m,,Semantic Web for Earth and Environment Technology Ontology.json,1
agulhas current,,Semantic Web for Earth and Environment Technology Ontology.json,1
antarctic circumpolar current,,Semantic Web for Earth and Environment Technology Ontology.json,1
arctic ocean,,Semantic Web for Earth and Environment Technology Ontology.json,1
benguela current,,Semantic Web for Earth and Environment Technology Ontology.json,1
brazil current,,Semantic Web for Earth and Environment Technology Ontology.json,1
california current,,Semantic Web for Earth and Environment Technology Ontology.json,1
canary current,,Semantic Web for Earth and Environment Technology Ontology.json,1
caribbean sea,,Semantic Web for Earth and Environment Technology Ontology.json,1
deep ocean current,,Semantic Web for Earth and Environment Technology Ontology.json,1
east australia current,,Semantic Web for Earth and Environment Technology Ontology.json,1
gulf stream,,Semantic Web for Earth and Environment Technology Ontology.json,1
indian ocean gyre,,Semantic Web for Earth and Environment Technology Ontology.json,1
kamchatka current,The western part of the subpolar gyre in the deep (western) part of the Bering Sea.,Semantic Web for Earth and Environment Technology Ontology.json,1
kurishio current,,Semantic Web for Earth and Environment Technology Ontology.json,1
labrador current,,Semantic Web for Earth and Environment Technology Ontology.json,1
north atlantic current,,Semantic Web for Earth and Environment Technology Ontology.json,1
north atlantic gyre,,Semantic Web for Earth and Environment Technology Ontology.json,1
north pacific gyre,,Semantic Web for Earth and Environment Technology Ontology.json,1
peru current,,Semantic Web for Earth and Environment Technology Ontology.json,1
south atlantic gyre,,Semantic Web for Earth and Environment Technology Ontology.json,1
south pacific gyre,,Semantic Web for Earth and Environment Technology Ontology.json,1
southern ocean,,Semantic Web for Earth and Environment Technology Ontology.json,1
yellow sea warm current,A surface current flowing northward along the central axis of the Yellow Sea.,Semantic Web for Earth and Environment Technology Ontology.json,1
ocean depth,,Semantic Web for Earth and Environment Technology Ontology.json,1
million km2,,Semantic Web for Earth and Environment Technology Ontology.json,1
million km3,,Semantic Web for Earth and Environment Technology Ontology.json,1
ocean volume,,Semantic Web for Earth and Environment Technology Ontology.json,1
earth eastern boundary current,,Semantic Web for Earth and Environment Technology Ontology.json,1
earth ocean current,,Semantic Web for Earth and Environment Technology Ontology.json,1
ocean area,,Semantic Web for Earth and Environment Technology Ontology.json,1
earth ocean,,Semantic Web for Earth and Environment Technology Ontology.json,1
earth western boundary current,,Semantic Web for Earth and Environment Technology Ontology.json,1
abyssal hill,,Semantic Web for Earth and Environment Technology Ontology.json,1
abyssal plain,,Semantic Web for Earth and Environment Technology Ontology.json,1
abyssal trench,,Semantic Web for Earth and Environment Technology Ontology.json,1
algal flat,,Semantic Web for Earth and Environment Technology Ontology.json,1
cold seep,,Semantic Web for Earth and Environment Technology Ontology.json,1
continental rise,,Semantic Web for Earth and Environment Technology Ontology.json,1
