subject_id,predicate_id,object_id,mapping_justification,confidence,term
HELIO Ontology:cadence,skos:exactMatch,SPASE Dictionary:cadence,lexical_identity_same_normalized_term,0.6,cadence
NASA CCMC:cadence,skos:exactMatch,SPASE Dictionary:cadence,lexical_identity_same_normalized_term,0.6,cadence
GCMD:calcium,skos:exactMatch,GEMET:calcium,lexical_identity_same_normalized_term,0.6,calcium
GCMD:calibration,skos:exactMatch,GEMET:calibration,lexical_identity_same_normalized_term,0.6,calibration
AGU Index Terms:callisto,skos:exactMatch,SPASE Dictionary:callisto,lexical_identity_same_normalized_term,0.6,callisto
GCMD:canal,skos:exactMatch,GEMET:canal,lexical_identity_same_normalized_term,0.6,canal
GCMD:canyon,skos:exactMatch,GEMET:canyon,lexical_identity_same_normalized_term,0.6,canyon
GEMET:car,skos:exactMatch,HELIO Ontology:car,lexical_identity_same_normalized_term,0.6,car
GCMD:carbon,skos:exactMatch,GEMET:carbon,lexical_identity_same_normalized_term,0.6,carbon
GCMD:carbon dioxide,skos:exactMatch,GEMET:carbon dioxide,lexical_identity_same_normalized_term,0.6,carbon dioxide
GCMD:carbon monoxide,skos:exactMatch,GEMET:carbon monoxide,lexical_identity_same_normalized_term,0.6,carbon monoxide
GCMD:carbon sequestration,skos:exactMatch,GEMET:carbon sequestration,lexical_identity_same_normalized_term,0.6,carbon sequestration
GCMD:carbonate,skos:exactMatch,GEMET:carbonate,lexical_identity_same_normalized_term,0.6,carbonate
Space Weather Glossary:carrington longitude,skos:exactMatch,Space Weather Glossary (Second):carrington longitude,lexical_identity_same_normalized_term,0.6,carrington longitude
HELIO Ontology:catalog,skos:exactMatch,SPASE Dictionary:catalog,lexical_identity_same_normalized_term,0.6,catalog
AGU Index Terms:catchment,skos:exactMatch,GEMET:catchment,lexical_identity_same_normalized_term,0.6,catchment
GCMD:cellulose,skos:exactMatch,GEMET:cellulose,lexical_identity_same_normalized_term,0.6,cellulose
HELIO Ontology:cgm,skos:exactMatch,SPASE Dictionary:cgm,lexical_identity_same_normalized_term,0.6,cgm
HELIO Ontology:channeltron,skos:exactMatch,SPASE Dictionary:channeltron,lexical_identity_same_normalized_term,0.6,channeltron
GCMD:chemical composition,skos:exactMatch,GEMET:chemical composition,lexical_identity_same_normalized_term,0.6,chemical composition
AGU Index Terms:chemosynthesis,skos:exactMatch,GCMD:chemosynthesis,lexical_identity_same_normalized_term,0.6,chemosynthesis
GCMD:chlorophyll,skos:exactMatch,GEMET:chlorophyll,lexical_identity_same_normalized_term,0.6,chlorophyll
GCMD:chromium,skos:exactMatch,GEMET:chromium,lexical_identity_same_normalized_term,0.6,chromium
